Description,Size,Lectures,Practicals,Tutorials,L-Duration,P-Duration,T-Duration
EMBEDDED SYSTEMS DEVELOPMENT,28,y,y,n,1,2,0
ENTERPRISE SYSTEMS DEVELOPMENT,111,y,y,n,1,2,0
COMPUTER AND NETWORK SYSTEMS,198,y,y,n,3,4,0
ENTREPRENEURIAL SKILLS,49,y,n,y,2,1,0
PRINCIPLES OF COMPUTING,182,y,n,y,2,0,1
WEB PROGRAMMING,59,y,y,n,2,2,0
INTELLIGENT SYSTEMS,101,y,y,y,2,2,0
OBJECT-ORIENTED SYSTEMS DEVELOPMENT,110,y,y,n,1,2,0
INTRODUCTION TO OO SYSTEMS DEVELOPMENT,139,y,y,n,2,4,0
FORENSIC COMPUTING PRACTICE,51,y,y,n,1,2,0
INTRODUCTION TO ARTIFICIAL INTELLIGENCE,205,y,y,n,2,2,0
SECURE EMBEDDED SYSTEMS,10,y,y,n,1,2,0
SECURITY DATA ANALYTICS,28,y,y,n,1,2,0
PROGRAMMING IN C,43,y,y,n,1,2,0
PROGRAMMING IN C++,78,y,y,n,1,2,0
BUILDING AND PORTING EMBEDDED OPERATING SYSTEMS,23,n,y,n,0,3,0
SECURITY AND FORENSIC TOOLS,55,y,y,n,2,2,0
C++ DEVELOPMENT,29,y,y,n,2,2,0
SOFTWARE ENGINEERING,47,y,y,n,1,2,0
SECURE COMPUTER NETWORKS,23,y,y,n,1,2,0
REQUIREMENTS ENGINEERING,77,y,n,y,2,0,2
COMPUTER CRIME AND DIGITAL EVIDENCE,62,y,y,n,2,2,0
INTEGRATED CASE STUDIES,11,y,n,n,3,0,0
SECURITY MANAGEMENT IN PRACTICE,52,y,n,n,1,0,0
CRYPTOGRAPHY,88,y,y,y,1,1,1
INTRODUCTION TO DATABASES,105,y,y,n,2,2,0
ADVANCED DATABASES,103,y,y,n,2,2,0
INTERNET OF THINGS,133,y,y,n,1,2,0
DESIGN AND ANALYSIS OF DATA STRUCTURES AND ALGORITHMS,113,y,y,n,2,2,0
MOBILE AND EMBEDDED DEVICES,13,y,y,n,1,2,0
OPERATING SYSTEMS,134,y,y,n,2,2,0
DESIGNING AND DEVELOPING DEVICE DRIVERS,12,n,y,n,0,3,0
BIOCOMPUTATION,130,y,y,n,1,2,0
DIGITAL SYSTEMS PROJECT,130,y,n,n,1,0,0
Module Lecture Skills,,,,,,,
EMBEDDED SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
ENTERPRISE SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,,,,
COMPUTER AND NETWORK SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
ENTREPRENEURIAL SKILLS,Skill_001,Skill_002,,,,,
PRINCIPLES OF COMPUTING,Skill_001,Skill_002,Skill_003,Skill_004,,,
WEB PROGRAMMING,Skill_001,Skill_002,,,,,
INTELLIGENT SYSTEMS,Skill_001,Skill_002,,,,,
OBJECT-ORIENTED SYSTEMS DEVELOPMENT,Skill_001,Skill_002,,,,,
INTRODUCTION TO OO SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
FORENSIC COMPUTING PRACTICE,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTRODUCTION TO ARTIFICIAL INTELLIGENCE,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURE EMBEDDED SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURITY DATA ANALYTICS,Skill_001,Skill_002,Skill_003,Skill_004,,,
PROGRAMMING IN C,Skill_001,Skill_002,Skill_003,Skill_004,,,
PROGRAMMING IN C++,Skill_001,Skill_002,Skill_003,Skill_004,,,
BUILDING AND PORTING EMBEDDED OPERATING SYSTEMS,Skill_001,,,,,,
SECURITY AND FORENSIC TOOLS,Skill_001,Skill_002,Skill_003,Skill_004,,,
C++ DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
SOFTWARE ENGINEERING,Skill_001,Skill_002,Skill_003,,,,
SECURE COMPUTER NETWORKS,Skill_001,Skill_002,Skill_003,Skill_004,,,
REQUIREMENTS ENGINEERING,Skill_001,Skill_002,Skill_003,Skill_004,,,
COMPUTER CRIME AND DIGITAL EVIDENCE,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTEGRATED CASE STUDIES,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURITY MANAGEMENT IN PRACTICE,Skill_001,Skill_002,Skill_003,Skill_004,,,
CRYPTOGRAPHY,Skill_001,Skill_002,Skill_003,,,,
INTRODUCTION TO DATABASES,Skill_001,Skill_002,Skill_003,Skill_004,,,
ADVANCED DATABASES,Skill_001,Skill_002,Skill_003,,,,
INTERNET OF THINGS,Skill_001,Skill_002,Skill_003,Skill_004,,,
DESIGN AND ANALYSIS OF DATA STRUCTURES AND ALGORITHMS,Skill_001,,,,,,
MOBILE AND EMBEDDED DEVICES,Skill_001,Skill_002,Skill_003,Skill_004,,,
OPERATING SYSTEMS,Skill_001,,,,,,
DESIGNING AND DEVELOPING DEVICE DRIVERS,Skill_001,Skill_002,Skill_003,Skill_004,,,
BIOCOMPUTATION,Skill_001,Skill_002,Skill_003,Skill_004,,,
DIGITAL SYSTEMS PROJECT,Skill_001,Skill_002,Skill_003,Skill_004,,,
Module Practical Skills,,,,,,,
EMBEDDED SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
ENTERPRISE SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
COMPUTER AND NETWORK SYSTEMS,Skill_001,,,,,,
ENTREPRENEURIAL SKILLS,Skill_001,Skill_002,Skill_003,,,,
PRINCIPLES OF COMPUTING,Skill_001,Skill_002,,,,,
WEB PROGRAMMING,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTELLIGENT SYSTEMS,Skill_001,Skill_002,Skill_003,,,,
OBJECT-ORIENTED SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTRODUCTION TO OO SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
FORENSIC COMPUTING PRACTICE,Skill_001,Skill_002,Skill_003,,,,
INTRODUCTION TO ARTIFICIAL INTELLIGENCE,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURE EMBEDDED SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURITY DATA ANALYTICS,Skill_001,Skill_002,Skill_003,Skill_004,,,
PROGRAMMING IN C,Skill_001,Skill_002,Skill_003,Skill_004,,,
PROGRAMMING IN C++,Skill_001,Skill_002,Skill_003,Skill_004,,,
BUILDING AND PORTING EMBEDDED OPERATING SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURITY AND FORENSIC TOOLS,Skill_001,Skill_002,Skill_003,Skill_004,,,
C++ DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
SOFTWARE ENGINEERING,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURE COMPUTER NETWORKS,Skill_001,Skill_002,Skill_003,Skill_004,,,
REQUIREMENTS ENGINEERING,Skill_001,Skill_002,Skill_003,Skill_004,,,
COMPUTER CRIME AND DIGITAL EVIDENCE,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTEGRATED CASE STUDIES,Skill_001,Skill_002,,,,,
SECURITY MANAGEMENT IN PRACTICE,Skill_001,,,,,,
CRYPTOGRAPHY,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTRODUCTION TO DATABASES,Skill_001,Skill_002,Skill_003,Skill_004,,,
ADVANCED DATABASES,Skill_001,,,,,,
INTERNET OF THINGS,Skill_001,Skill_002,,,,,
DESIGN AND ANALYSIS OF DATA STRUCTURES AND ALGORITHMS,Skill_001,Skill_002,Skill_003,,,,
MOBILE AND EMBEDDED DEVICES,Skill_001,Skill_002,Skill_003,Skill_004,,,
OPERATING SYSTEMS,Skill_001,Skill_002,,,,,
DESIGNING AND DEVELOPING DEVICE DRIVERS,Skill_001,,,,,,
BIOCOMPUTATION,Skill_001,Skill_002,Skill_003,Skill_004,,,
DIGITAL SYSTEMS PROJECT,Skill_001,,,,,,
Module Tutorial Skills,,,,,,,
EMBEDDED SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
ENTERPRISE SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
COMPUTER AND NETWORK SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
ENTREPRENEURIAL SKILLS,Skill_001,Skill_002,Skill_003,Skill_004,,,
PRINCIPLES OF COMPUTING,Skill_001,Skill_002,Skill_003,Skill_004,,,
WEB PROGRAMMING,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTELLIGENT SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
OBJECT-ORIENTED SYSTEMS DEVELOPMENT,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTRODUCTION TO OO SYSTEMS DEVELOPMENT,Skill_001,Skill_002,,,,,
FORENSIC COMPUTING PRACTICE,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTRODUCTION TO ARTIFICIAL INTELLIGENCE,Skill_001,,,,,,
SECURE EMBEDDED SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURITY DATA ANALYTICS,Skill_001,Skill_002,Skill_003,Skill_004,,,
PROGRAMMING IN C,Skill_001,Skill_002,Skill_003,Skill_004,,,
PROGRAMMING IN C++,Skill_001,Skill_002,Skill_003,Skill_004,,,
BUILDING AND PORTING EMBEDDED OPERATING SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURITY AND FORENSIC TOOLS,Skill_001,Skill_002,Skill_003,Skill_004,,,
C++ DEVELOPMENT,Skill_001,,,,,,
SOFTWARE ENGINEERING,Skill_001,Skill_002,Skill_003,Skill_004,,,
SECURE COMPUTER NETWORKS,Skill_001,Skill_002,,,,,
REQUIREMENTS ENGINEERING,Skill_001,Skill_002,Skill_003,Skill_004,,,
COMPUTER CRIME AND DIGITAL EVIDENCE,Skill_001,Skill_002,,,,,
INTEGRATED CASE STUDIES,Skill_001,Skill_002,,,,,
SECURITY MANAGEMENT IN PRACTICE,Skill_001,,,,,,
CRYPTOGRAPHY,Skill_001,Skill_002,Skill_003,Skill_004,,,
INTRODUCTION TO DATABASES,Skill_001,Skill_002,Skill_003,Skill_004,,,
ADVANCED DATABASES,Skill_001,Skill_002,Skill_003,,,,
INTERNET OF THINGS,Skill_001,,,,,,
DESIGN AND ANALYSIS OF DATA STRUCTURES AND ALGORITHMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
MOBILE AND EMBEDDED DEVICES,Skill_001,Skill_002,Skill_003,Skill_004,,,
OPERATING SYSTEMS,Skill_001,Skill_002,Skill_003,Skill_004,,,
DESIGNING AND DEVELOPING DEVICE DRIVERS,Skill_001,Skill_002,Skill_003,Skill_004,,,
BIOCOMPUTATION,Skill_001,Skill_002,Skill_003,Skill_004,,,
DIGITAL SYSTEMS PROJECT,Skill_001,Skill_002,Skill_003,,,,
Module Lecture Resources,,,,,,,
EMBEDDED SYSTEMS DEVELOPMENT,,,,,,,
ENTERPRISE SYSTEMS DEVELOPMENT,,,,,,,
COMPUTER AND NETWORK SYSTEMS,,,,,,,
ENTREPRENEURIAL SKILLS,,,,,,,
PRINCIPLES OF COMPUTING,,,,,,,
WEB PROGRAMMING,,,,,,,
INTELLIGENT SYSTEMS,,,,,,,
OBJECT-ORIENTED SYSTEMS DEVELOPMENT,,,,,,,
INTRODUCTION TO OO SYSTEMS DEVELOPMENT,,,,,,,
FORENSIC COMPUTING PRACTICE,,,,,,,
INTRODUCTION TO ARTIFICIAL INTELLIGENCE,,,,,,,
SECURE EMBEDDED SYSTEMS,,,,,,,
SECURITY DATA ANALYTICS,,,,,,,
PROGRAMMING IN C,,,,,,,
PROGRAMMING IN C++,,,,,,,
BUILDING AND PORTING EMBEDDED OPERATING SYSTEMS,,,,,,,
SECURITY AND FORENSIC TOOLS,,,,,,,
C++ DEVELOPMENT,,,,,,,
SOFTWARE ENGINEERING,,,,,,,
SECURE COMPUTER NETWORKS,,,,,,,
REQUIREMENTS ENGINEERING,,,,,,,
COMPUTER CRIME AND DIGITAL EVIDENCE,,,,,,,
INTEGRATED CASE STUDIES,,,,,,,
SECURITY MANAGEMENT IN PRACTICE,,,,,,,
CRYPTOGRAPHY,,,,,,,
INTRODUCTION TO DATABASES,,,,,,,
ADVANCED DATABASES,,,,,,,
INTERNET OF THINGS,,,,,,,
DESIGN AND ANALYSIS OF DATA STRUCTURES AND ALGORITHMS,,,,,,,
MOBILE AND EMBEDDED DEVICES,,,,,,,
OPERATING SYSTEMS,,,,,,,
DESIGNING AND DEVELOPING DEVICE DRIVERS,,,,,,,
BIOCOMPUTATION,,,,,,,
